dir	additions	deletions	changes
src/debug/pe/testdata	0	0	0
misc/cgo/testcshared/testdata/libgo5	0	0	0
misc/cgo/testcshared/testdata/libgo4	0	0	0
src/os/testdata/dirfs	0	0	0
misc/cgo/testcshared/testdata/go2c2go/m2	0	0	0
misc/cgo/testcshared/testdata/go2c2go/m1	0	0	0
misc/cgo/testcshared/testdata/go2c2go/go	0	0	0
misc/cgo/testcshared/testdata	0	0	0
src/internal/traceparser/testdata	0	0	0
misc/cgo/testcshared/testdata/p	0	0	0
misc/cgo/testcarchive/testdata/p	0	0	0
misc/cgo/testcarchive/testdata/libgo3	0	0	0
misc/cgo/testcarchive/testdata/libgo2	0	0	0
misc/cgo/test/testdata/issue9510b	0	0	0
misc/cgo/test/testdata/issue9510a	0	0	0
src/image/testdata	0	0	0
src/image/png/testdata	0	0	0
misc/cgo/test/testdata/issue8828	0	0	0
misc/cgo/test/testdata/issue8756	0	0	0
misc/cgo/testcarchive/testdata/libgo4	0	0	0
misc/cgo/test/testdata/issue27340	0	0	0
src/os/testdata/dirfs/dir	0	0	0
misc/cgo/testplugin/altpath/testdata/common	0	0	0
misc/nacl/testdata/bin	0	0	0
src/cmd/internal/archive/testdata	0	0	0
test/fixedbugs/issue15071.dir	0	0	0
src/time/testdata	0	0	0
misc/cgo/testplugin/testdata/issue25756/plugin	0	0	0
misc/cgo/testplugin/testdata/issue25756	0	0	0
misc/cgo/testplugin/testdata/issue24351	0	0	0
misc/cgo/testplugin/testdata/issue22295.pkg	0	0	0
src/cmd/vendor/github.com/google/pprof/internal/binutils/testdata/lib_mac_64.dSYM/Contents/Resources/DWARF	0	0	0
misc/cgo/testplugin/testdata/issue22175	0	0	0
misc/cgo/testplugin/testdata/issue19529	0	0	0
misc/cgo/testplugin/testdata/issue19418	0	0	0
misc/cgo/testplugin/testdata/issue18676/dynamodbstreamsevt	0	0	0
misc/cgo/testplugin/testdata/issue18584	0	0	0
misc/cgo/testplugin/testdata/iface_i	0	0	0
src/cmd/vendor/github.com/google/pprof/internal/binutils/testdata/exe_mac_64.dSYM/Contents/Resources/DWARF	0	0	0
misc/cgo/testplugin/testdata/common	0	0	0
misc/cgo/testplugin/testdata/checkdwarf	0	0	0
misc/cgo/testplugin/testdata/issue19534	0	0	0
misc/cgo/test/testdata/issue26743	0	0	0
src/cmd/go/testdata/src/exclude/empty	0	0	0
misc/cgo/test/testdata/issue26213	0	0	0
src/crypto/ed25519/testdata	0	0	0
misc/cgo/stdio/testdata/stdio	0	0	0
src/crypto/internal/edwards25519/field	0	0	0
doc/gopher/pencil	0	0	0
src/debug/gosym/testdata	0	0	0
misc/cgo/test/testdata/issue20266	0	0	0
misc/cgo/test/testdata/issue23555a	0	0	0
misc/cgo/test/testdata/issue23555b	0	0	0
misc/cgo/test/testdata/issue24161arg	0	0	0
misc/cgo/test/testdata/gcc68255	0	0	0
misc/cgo/test/testdata/issue24161res	0	0	0
